prompt,intent,classes
Can you update the sales figures in cells B2 to D10?,Update cell range,entry and manipulation
Please modify the data in range A1:A,Update cell range,entry and manipulation
I need to change the prices in cells C3:C,Update cell range,entry and manipulation
Could you update the inventory levels from B5 to E15?,Update cell range,entry and manipulation
Please adjust the budget numbers in range F10:G,Update cell range,entry and manipulation
Update the customer information in cells A2:A,Update cell range,entry and manipulation
Could you modify the scores in range D6:H10?,Update cell range,entry and manipulation
I need to change the dates in cells E2:E,Update cell range,entry and manipulation
Please update the quarterly revenue in cells B3:B,Update cell range,entry and manipulation
Could you adjust the formulas in range C4:F10?,Update cell range,entry and manipulation
Update the product descriptions from A5 to A,Update cell range,entry and manipulation
Please modify the employee salaries in range G2:G,Update cell range,entry and manipulation
Could you update the order quantities in cells C3:C15?,Update cell range,entry and manipulation
I need to change the shipping addresses from D2:D,Update cell range,entry and manipulation
Please adjust the discount rates in range E5:E,Update cell range,entry and manipulation
Update the project statuses in cells B2:B,Update cell range,entry and manipulation
Could you modify the customer feedback scores from C2:C100?,Update cell range,entry and manipulation
Please update the vendor details in range D3:D,Update cell range,entry and manipulation
Could you adjust the payment terms in cells E3:E10?,Update cell range,entry and manipulation
I need to change the product prices from A1:A,Update cell range,entry and manipulation
Please modify the transaction amounts in range B5:B,Update cell range,entry and manipulation
Update the employee attendance records in cells C2:C,Update cell range,entry and manipulation
Could you update the customer orders from D2:D50?,Update cell range,entry and manipulation
Please adjust the inventory levels in range E5:E,Update cell range,entry and manipulation
Could you modify the sales projections in cells F2:F20?,Update cell range,entry and manipulation
I need to change the expense categories from G2:G,Update cell range,entry and manipulation
Please update the account balances in range H3:H,Update cell range,entry and manipulation
Could you adjust the delivery dates in cells I2:I30?,Update cell range,entry and manipulation
Update the project timelines from J2:J,Update cell range,entry and manipulation
Please modify the customer ratings in range K3:K,Update cell range,entry and manipulation
Could you update the product inventory in cells L2:L40?,Update cell range,entry and manipulation
I need to change the shipping costs from M2:M,Update cell range,entry and manipulation
Please adjust the service charges in range N3:N,Update cell range,entry and manipulation
Could you update the employee performance ratings in cells O2:O50?,Update cell range,entry and manipulation
Please modify the supplier information in range P3:P,Update cell range,entry and manipulation
Could you adjust the payment due dates in cells Q2:Q20?,Update cell range,entry and manipulation
Update the customer subscriptions from R2:R,Update cell range,entry and manipulation
Please update the order statuses in range S2:S,Update cell range,entry and manipulation
Could you modify the project milestones in cells T2:T40?,Update cell range,entry and manipulation
I need to change the customer support tickets from U2:U,Update cell range,entry and manipulation
Please adjust the product specifications in range V3:V,Update cell range,entry and manipulation
Could you update the inventory turnover rates in cells W2:W30?,Update cell range,entry and manipulation
Please modify the sales commissions in range X3:X,Update cell range,entry and manipulation
Could you adjust the marketing campaign budgets in cells Y2:Y20?,Update cell range,entry and manipulation
Update the customer complaints from Z2:Z,Update cell range,entry and manipulation
Please update the employee training records in range AA2:AA,Update cell range,entry and manipulation
Could you modify the project budgets in cells AB2:AB20?,Update cell range,entry and manipulation
I need to change the customer refunds from AC2:AC,Update cell range,entry and manipulation
Please adjust the vendor contracts in range AD3:AD,Update cell range,entry and manipulation
Could you update the product warranties in cells AE2:AE30?,Update cell range,entry and manipulation
Please modify the shipping schedules in range AF3:AF,Update cell range,entry and manipulation
Could you adjust the sales targets in cells AG2:AG15?,Update cell range,entry and manipulation
Update the customer satisfaction scores from AH2:AH,Update cell range,entry and manipulation
Please update the inventory reorder points in range AI3:AI,Update cell range,entry and manipulation
Could you modify the production schedules in cells AJ2:AJ30?,Update cell range,entry and manipulation
I need to change the supplier payment terms from AK2:AK,Update cell range,entry and manipulation
Please adjust the customer order lead times in range AL3:AL,Update cell range,entry and manipulation
Could you update the project resource allocations in cells AM2:AM30?,Update cell range,entry and manipulation
Please modify the product returns process in range AN3:AN,Update cell range,entry and manipulation
Could you adjust the marketing ROI calculations in cells AO2:AO15?,Update cell range,entry and manipulation
Update the customer loyalty program details from AP2:AP,Update cell range,entry and manipulation
Please update the employee benefits information in range AQ2:AQ,Update cell range,entry and manipulation
Could you modify the product packaging specifications in cells AR2:AR20?,Update cell range,entry and manipulation
Please adjust the order fulfillment process in range AS3:AS,Update cell range,entry and manipulation
Could you update the inventory storage locations in cells AT2:AT30?,Update cell range,entry and manipulation
I need to change the supplier delivery schedules from AU2:AU,Update cell range,entry and manipulation
Please modify the customer retention strategies in range AV3:AV,Update cell range,entry and manipulation
Could you adjust the sales forecasting models in cells AW2:AW15?,Update cell range,entry and manipulation
Update the customer engagement metrics from AX2:AX,Update cell range,entry and manipulation
Please update the employee performance evaluation criteria in range AY2:AY,Update cell range,entry and manipulation
