prompt,ner
,I need to sort the data in range A1:C10 in ascending order based on the values in column B.
Fill the rest of column B based on the value in B2. ,Fill(O) the(rest) rest(grad) of(column) column(ColumnName) B(Key) based(Function) on(on) the(value) value in(in) B2(Source).
Fill the column B with the formula already written in B2. ,Fill (Function) the column (Source) B with the formula (Formula) already (Text) written in B2 (Cell).
Fill the rest cells in column B according to B2. ,Fill(O) the(rest) Source(Cell) cells(Position)(After ColumnLetter)(B) in(Destination)(ColumnLetter)(B) according(Function)(to)(Source(Cell))(B2)
Fill out the rest of the rows for column B using B2. ,"Fill(Source= B2, Destination= ColumnLetter B, DestinationPosition= After ColumnLetter B)"
Copy the Hanging Mass column to a new sheet. ,Copy (Function) the Hanging (Source) Mass (ColumnLetter) column to a new (NewDestination) sheet (DestinationSheet).
"Copy the distances from ""Berkeley"", ""Denver"", ""Kansas City"", and ""Chicago"" to the four destinations along with the four destination headers to a new sheet. ","Copy(O) the distances from ""Berkeley""(Cell) , ""Denver""(Cell) , ""Kansas City""(Cell) , and ""Chicago""(Cell) to the four destinations along with the four destination headers to a new sheet.(Destination, NewDestinationSheet)"
Copy the Customers column to a new sheet. ,"Copy (Function) the (Source) Customers (ColumnLetter) column to (Destination) a (NewDestination) new sheet. 

Tags:
Function: copy
Source: Customers
ColumnLetter: column
Destination: new
NewDestination: true"
"Copy the Year, Sales, and Gross Profit columns to a new sheet. ","Copy (Function) the (Source) Year, Sales, and Gross Profit (RowField) columns to a new (Destination) sheet. 

Tokens with tags:
Copy (Function) the (Source) Year, Sales, and Gross Profit (ColumnField) columns to a new (NewDestinationSheet) sheet."
Copy the Product column to a new sheet. ,"Copy (Function) the Product (Source) column (Source) to (Function) a new (NewDestination) sheet (Destination). 

Tokens with tags:
- Copy (Function)
- the (Function)
- Product (Source)
- column (Source)
- to (Function)
- a (Function)
- new (NewDestination)
- sheet (Destination)"
"Copy the ""Revenue"" column along with the header to a new sheet. ","Copy (Function) the ""Revenue"" (Source) column (Source) along with the header (Source) to a new (NewDestination) sheet (DestinationSheet)."
Copy all the values from the Displacement column to a new sheet. ,Copy (Function) all (Source) the (Source) values (Function) from (Source) the (Source) Displacement (ColumnName) column (Function) to (Destination) a (NewDestination) new (NewDestination) sheet (DestinationSheet).
Copy the Year column to column A of a new sheet. ,Copy(O) the(Function) Year(Source) column(Source) to(Function) column(Destination) A(Destination) of(Function) a(Function) new(NewDestination) sheet(NewDestinationSheet).
"Copy all values from the Date column to column A named ""Dates"" in a new sheet and keep the data type the same. ","Copy (Function) all (Source) values (Destination) from (SourceSheet) the (Key) Date (ColumnField) column (Source) to (Destination) column (ColumnLetter) A (Destination) named ""Dates"" (Name) in (NewDestinationSheet) a new sheet (DestinationSheet) and keep the data type (DataType) the same."
