iter	Accuracy	MultiClass
0	0.1000436778	4.461443233
1	0.1533880909	4.417992009
2	0.1828259317	4.379046845
3	0.1826662451	4.345183542
4	0.1918517561	4.319294006
5	0.2470487974	4.267173754
6	0.2852703317	4.233076308
7	0.2855781792	4.214375442
8	0.2951539175	4.187977959
9	0.3040010341	4.163232379
10	0.3040289973	4.139368419
11	0.322948571	4.113921844
12	0.3508878707	4.084753826
13	0.3598736276	4.062380737
14	0.3714493994	4.041387659
15	0.3714493994	4.025383261
16	0.3807197269	4.002320406
17	0.39906784	3.979542822
18	0.4282289701	3.951910832
19	0.4414555883	3.927853585
20	0.4511920612	3.908746314
21	0.4704179933	3.883507361
22	0.4704170284	3.86676613
23	0.4704128953	3.855501936
24	0.4790865407	3.840787954
25	0.501240472	3.814246878
26	0.5115898233	3.798916479
27	0.5357437015	3.777256809
28	0.5399758245	3.757578755
29	0.5485226847	3.74012506
30	0.5481780707	3.724594205
31	0.5568473863	3.709366781
32	0.5567157662	3.699500039
33	0.5647440508	3.681700146
34	0.5751908379	3.661638862
35	0.5753807273	3.651389845
36	0.5753807273	3.638756392
37	0.5769813046	3.625707215
38	0.5784386067	3.614149387
39	0.5808907648	3.596568585
40	0.5890879106	3.579607785
41	0.5893588765	3.567212298
42	0.6167714466	3.542126494
43	0.6260311023	3.52837441
44	0.6396895379	3.501465395
45	0.6397117478	3.494351029
46	0.6415907481	3.482094116
47	0.6493613914	3.462559415
48	0.6579716847	3.446894286
49	0.658018574	3.437138881
50	0.6863122686	3.412111135
51	0.686850404	3.404072859
52	0.7031860483	3.383944677
53	0.7166769053	3.358480182
54	0.7241697433	3.345794405
55	0.7234849716	3.329734817
56	0.7343636566	3.305283827
57	0.7343636566	3.296558652
58	0.7328717834	3.284379866
59	0.7526144813	3.261670853
60	0.7559299724	3.241760089
61	0.7553949025	3.234173614
62	0.7563510593	3.223664173
63	0.7563809946	3.216767226
64	0.7641601822	3.200118696
65	0.7752750071	3.185884469
66	0.7746026453	3.172408578
67	0.7746026453	3.16593046
68	0.7746855675	3.158686359
69	0.7749883537	3.152167386
70	0.7824555059	3.140042118
71	0.7825011491	3.128918888
72	0.7825048431	3.12048233
73	0.7825048431	3.112813666
74	0.7824790705	3.101176037
75	0.7975671462	3.08635024
76	0.7972908664	3.068909686
77	0.7972552041	3.059823978
78	0.7974801656	3.053506654
79	0.7974752385	3.045279392
80	0.8013705708	3.028342006
81	0.8016376678	3.016498905
82	0.8017574758	3.005862119
83	0.8043999829	2.990736236
84	0.8043542321	2.983199218
85	0.8043248411	2.978244941
86	0.8063340966	2.970689765
87	0.8089762117	2.960997913
88	0.8093146715	2.952026888
89	0.8087339711	2.941029091
90	0.8171275709	2.926299579
91	0.8207477059	2.908601229
92	0.8206888189	2.901542053
93	0.8208782416	2.894608073
94	0.8209021288	2.887517838
95	0.8209832574	2.881080097
96	0.8209832574	2.875738768
97	0.8285300777	2.859329638
98	0.8284569853	2.847156586
99	0.8284569853	2.842947506
100	0.828688212	2.8363559
101	0.8287325679	2.829554282
102	0.8304263255	2.816380149
103	0.8304475554	2.81117835
104	0.8318136809	2.800199428
105	0.8326348849	2.789575304
106	0.8327966411	2.781961592
107	0.8327956796	2.777271802
108	0.8328562037	2.769905373
109	0.8328343321	2.762989312
110	0.8333733225	2.754413224
111	0.8338539596	2.745620673
112	0.833831835	2.739562101
113	0.8339908896	2.733846143
114	0.8356042393	2.72577179
115	0.8358368203	2.720602484
116	0.8359606641	2.712956278
117	0.8359606641	2.708731668
118	0.8363847548	2.69925389
119	0.8371513013	2.6798052
120	0.83725417	2.675943034
121	0.8379725344	2.667697374
122	0.8375699134	2.663276131
123	0.8377005744	2.657252442
124	0.8385573642	2.652617603
125	0.843716366	2.647016805
126	0.8437777143	2.639142191
127	0.8438750103	2.628910376
128	0.8439004385	2.622527349
129	0.8439399188	2.615454316
130	0.8441083006	2.609515444
131	0.8443678958	2.603276964
132	0.8444857025	2.598041716
133	0.8456983565	2.588248083
134	0.8456015061	2.580818102
135	0.8469178865	2.570927229
136	0.8468535593	2.565655425
137	0.8466921063	2.560686574
138	0.8466278343	2.556201301
139	0.84663944	2.551713638
140	0.84663944	2.546687685
141	0.8472746885	2.536514167
142	0.8472335397	2.531306395
143	0.8471937975	2.525559615
144	0.8472748768	2.511927948
145	0.8472949398	2.508528095
146	0.8474272334	2.500375853
147	0.8473245937	2.489644932
148	0.8473015007	2.486150705
149	0.8475388223	2.481154378
150	0.847617585	2.477141691
151	0.8476878959	2.471354773
152	0.8478025968	2.466060989
153	0.8478437143	2.462377536
154	0.8479065786	2.457893934
155	0.8479065786	2.454021972
156	0.8479098853	2.449606941
157	0.8478311227	2.44550872
158	0.8480131394	2.441232742
159	0.8480350264	2.437723701
160	0.8481396706	2.433052308
161	0.8480658173	2.425417571
162	0.8480411767	2.421510487
163	0.8480593577	2.416040618
164	0.8480812447	2.412785073
165	0.8479828771	2.409004379
166	0.8479823001	2.404195605
167	0.8479823001	2.400744145
168	0.8480356754	2.396796445
169	0.848035789	2.392907519
170	0.8480393054	2.388305652
171	0.8480755503	2.382744036
172	0.8480755503	2.379493987
173	0.8480596169	2.369481981
174	0.8481360092	2.365182588
175	0.8481810015	2.361842465
176	0.8481810015	2.357929886
177	0.8471453002	2.347776438
178	0.8473516799	2.344412184
