iter	Passed	Remaining
0	505	151007
1	926	138033
2	1339	132611
3	1804	133514
4	2217	130831
5	2699	132276
6	3108	130129
7	3524	128643
8	3939	127384
9	4356	126332
10	4795	125999
11	5208	124995
12	5614	123954
13	6036	123321
14	6442	122399
15	6859	121757
16	7280	121200
17	7693	120538
18	8131	120256
19	8595	120338
20	9006	119660
21	9414	118970
22	9843	118554
23	10257	117962
24	10666	117328
25	11128	117274
26	11535	116639
27	11969	116274
28	12383	115722
29	12806	115261
30	13217	114695
31	13632	114169
32	14050	113685
33	14458	113119
34	14928	113029
35	15336	112467
36	15742	111895
37	16170	111489
38	16582	110972
39	17054	110855
40	17471	110369
41	17890	109900
42	18310	109439
43	18726	108952
44	19193	108762
45	19598	108218
46	20007	107701
47	20431	107262
48	20837	106737
49	21252	106264
50	21690	105901
51	22111	105455
52	22545	105068
53	23011	104830
54	23421	104331
55	23864	103980
56	24353	103820
57	24765	103332
58	25237	103089
59	25679	102717
60	26103	102274
61	26513	101778
62	26920	101272
63	27357	100882
64	27770	100402
65	28195	99965
66	28628	99560
67	29036	99066
68	29444	98576
69	29854	98092
70	30274	97646
71	30685	97170
72	31112	96746
73	31519	96260
74	31990	95972
75	32464	95685
76	32952	95434
77	33364	94960
78	33780	94498
79	34203	94059
80	34756	93970
81	35162	93481
82	35604	93087
83	36044	92687
84	36448	92192
85	36889	91795
86	37302	91327
87	37721	90875
88	38129	90397
89	38599	90064
90	39048	89682
91	39510	89327
92	39925	88865
93	40335	88395
94	40753	87942
95	41157	87459
96	41562	86981
97	42035	86645
98	42545	86380
99	42968	85936
100	43390	85491
101	43802	85029
102	44339	84805
103	44748	84333
104	45227	83994
105	45691	83624
106	46112	83174
107	46532	82724
108	46995	82349
109	47471	81996
110	47960	81662
111	48372	81197
112	48794	80748
113	49208	80287
114	49623	79829
115	50045	79382
116	50467	78936
117	50890	78492
118	51442	78244
119	51973	77960
120	52389	77501
121	52949	77254
122	53366	76795
123	53772	76322
124	54184	75858
125	54601	75402
126	55008	74933
127	55564	74664
128	55977	74202
129	56398	73752
130	56883	73384
131	57311	72941
132	57722	72478
133	58190	72087
134	58677	71716
135	59156	71335
136	59571	70876
137	59985	70417
138	60398	69957
139	60817	69505
140	61245	69064
141	61703	68656
142	62110	68191
143	62518	67728
144	63030	67377
145	63439	66915
146	63902	66510
147	64359	66099
148	64777	65647
149	65216	65216
150	65619	64750
151	66060	64322
152	66487	63880
153	66906	63430
154	67326	62982
155	67732	62522
156	68166	62087
157	68578	61634
158	68989	61179
159	69396	60722
160	69812	60272
161	70258	59849
162	70669	59396
163	71125	58981
164	71530	58524
165	71943	58074
166	72381	57644
167	72796	57196
168	73220	56756
169	73632	56307
170	74050	55862
171	74524	55460
172	74932	55007
173	75393	54595
174	75853	54180
175	76262	53730
176	76689	53292
177	77151	52879
178	77556	52426
